Carimbo de data/hora,Entre com seu identificador de usuário (número do cartão UFRGS),Condição testada,Mission score,Driver level (número inteiro),Coins (moedas) no canto superior direito,Tempo cronometrado (em segundos),Acidentes,Quilometragem (travel distance),Deriva (drift length),Velocidade máxima (max. speed),Velocidade média (avg. speed)
8/10/2023 14:26:56,30,Condução por gesto (girando a tela),3976,1,342,115,1,4868,0,63,31
8/10/2023 14:27:15,29,Por tela touch (tocando com o dedo para girar o volante),8044,28.93,41,90,0,2 km,0,89,47
8/10/2023 14:28:13,28,Por tela touch (tocando com o dedo para girar o volante),543,1,30,127,0,2,0,88,54
8/10/2023 14:29:03,25,Condução por gesto (girando a tela),6667,2,56,77,0,1,0,93,55
8/10/2023 14:29:32,27,Condução por gesto (girando a tela),4279,46,32,1.37,20,10,0,77,41
8/10/2023 14:30:33,25,Por tela touch (tocando com o dedo para girar o volante),6060,2,37,127,2,2,0,93,55
8/10/2023 14:31:07,27,Por tela touch (tocando com o dedo para girar o volante),4981,63,33,1.16,26,14,0,93,51
8/10/2023 14:31:22,37,Condução por gesto (girando a tela),8614,1,1399,129,1,2km,0km,94,58
8/10/2023 14:32:13,34,Por tela touch (tocando com o dedo para girar o volante),6040,1,37,94,6,11 km,0,90 km/h,57 km/h
8/10/2023 14:32:56,26,Condução por gesto (girando a tela),5128,1,34,82,0,2,0,85,48
8/10/2023 14:33:01,39,Por tela touch (tocando com o dedo para girar o volante),2443,1,1205,124,0,2,0,97,78
8/10/2023 14:33:54,31,Por tela touch (tocando com o dedo para girar o volante),5142,1,36,117,7,10,0,80,44
8/10/2023 14:35:59,32,Condução por gesto (girando a tela),6824,1,39,81,0,1,0,92,59
8/10/2023 14:36:28,35,Por tela touch (tocando com o dedo para girar o volante),7634,2,40,170,3,2000,0,94,59
8/10/2023 14:37:34,35,Condução por gesto (girando a tela),8768,2,43,67,0,1000,0,94,60
8/10/2023 14:37:42,39,Condução por gesto (girando a tela),7568,2,1257,114,1,3,0,97,78
8/10/2023 14:38:14,32,Por tela touch (tocando com o dedo para girar o volante),5396,1,35,92,0,1,0,92,59
8/10/2023 14:39:26,31,Condução por gesto (girando a tela),5505,1,38,89,4,5,0,80,57
8/10/2023 14:41:04,36,Por tela touch (tocando com o dedo para girar o volante),5134,"1 - 13,18%",272,182,1,,0 (245 total),87,45
8/10/2023 14:42:45,36,Condução por gesto (girando a tela),6280,"1 - 53,10%",1136,138,1,2500m,0 (245m) anteriormente,87,47
8/10/2023 14:44:33,42,Por tela touch (tocando com o dedo para girar o volante),33,1,575,2:30,1,,,,
8/10/2023 14:46:14,40,Condução por gesto (girando a tela),2280,1,641,113,2,2,1,93,67
8/10/2023 14:47:09,40,Por tela touch (tocando com o dedo para girar o volante),4740,1,1198,95,3,3,1,93,66
8/10/2023 14:48:52,42,Condução por gesto (girando a tela),29,1,632,177,1,,,,
8/10/2023 15:06:57,38,Condução por gesto (girando a tela),3166,1,25,510,14,2802,12,61,28
8/10/2023 15:09:35,38,Por tela touch (tocando com o dedo para girar o volante),1268,1,20,627,24,6943,12,61,25
